CODIGO_CLIENTE;NOME_CLIENTE;DATA_NASCIMENTO;IDADE_CLIENTE;DESCRICAO_ENDERECO;NUMERO_ENDERECO;NOME_CIDADE;NUMERO_TELEFONE;EMAIL_CLIENTE;OCUPACAO_CLIENTE
191;Carlos Eduardo Melo;1980-10-07;43;Setor Correia;40;Moura;+55 (031) 6225 3943;costelajoana@gmail.com;Cientista de alimentos
192;Carlos Eduardo da Mata;1971-11-17;52;Conjunto Correia;4;Martins do Amparo;+55 (031) 6374 8528;rodriguesdavi-luiz@hotmail.com;Assessor parlamentar
193;Carolina Aragão;1994-09-02;29;Praia Alves;18;Moreira;31 8955-5032;vitoria20@dias.org;Sexólogo
194;Carolina Cunha;1986-05-23;37;Praia Maria Julia Costela;5;Gonçalves de Aragão;+55 31 1913-8850;dmartins@yahoo.com.br;Cineasta
195;Carolina Lopes;2019-09-14;4;Condomínio Murilo Peixoto;11;Nascimento;(041) 3790-4610;mcavalcanti@aragao.com;Embalsamador
196;Carolina Martins;2009-03-25;14;Setor Gonçalves;14;Moura;21 7816-9539;isis60@viana.br;Rebarbador de metal
197;Carolina Martins;1974-08-27;49;Parque de Vieira;47;Castro da Praia;0300 399 8878;emanuella97@gomes.com;Parteira tradicional
198;Carolina Mendes;2002-03-15;21;Esplanada Lucca Ribeiro;32;Almeida;+55 41 0223 7328;scosta@bol.com.br;Continuista
199;Carolina Oliveira;2014-03-21;9;Núcleo Isaac Campos;49;Silveira de Sales;(031) 9665-4714;fda-cruz@da.net;Psiquiatra
200;Carolina Pereira;1973-12-29;50;Praia Caldeira;71;Teixeira dos Dourados;(031) 3839-7642;gustavo24@ig.com.br;Crítico
201;Caroline Barbosa;2004-06-10;19;Parque Olivia Vieira;11;Rezende;0800 359 5126;maria-cecilia16@moreira.com;Escoteiro
202;Caroline Lopes;1991-01-25;33;Vale de Caldeira;58;Lopes;+55 (084) 5014-9386;antonio72@sales.net;Ascensorista
203;Caroline Monteiro;2016-12-11;7;Jardim de Fogaça;21;Monteiro de Goiás;0900 534 7873;costelabianca@bol.com.br;Podólogo
204;Caroline Rezende;1994-08-01;29;Trevo Azevedo;41;Nascimento;+55 21 9349 4167;marinafarias@lopes.com;Editor
205;Caroline Viana;2009-10-02;14;Colônia Davi Novaes;360;da Rocha de Lopes;51 3339 8472;fernandespedro-miguel@uol.com.br;Médico cirurgião
206;Catarina Barros;1995-12-01;28;Passarela de Barros;85;Nogueira;0500-642-9760;nunesbreno@cardoso.com;Bailarina
207;Catarina Moreira;2010-09-09;13;Rua de Cunha;14;Nogueira da Praia;+55 71 8726 1847;nunesotavio@yahoo.com.br;Especialista em agronegócios
208;Catarina Rodrigues;1993-08-08;30;Lago de da Paz;442;da Costa;(061) 3166-6921;pcosta@ig.com.br;Designer de produto ou desenhista industrial
209;Cauã Melo;1992-01-17;32;Parque Luiz Henrique Dias;93;da Conceição;+55 11 4912 5229;emanuellanunes@carvalho.org;Sargento
210;Cauã Silveira;1976-09-22;47;Lago de Mendes;84;Ramos;+55 (041) 0433-4251;mariasilva@da.br;Tecnólogo em rochas ornamentais
211;Cauã da Conceição;2001-10-11;22;Vale Freitas;6;Gonçalves de Cardoso;+55 61 9294 2725;isabel75@alves.br;Pecuarista
212;Cauã da Cunha;2009-10-14;14;Pátio Eloah Costela;2;Santos de Moura;+55 (011) 5173-1388;isabellamoreira@azevedo.com;Defensor Público
213;Cauã da Mata;1982-12-03;41;Recanto Vieira;118;Fogaça;51 2815 6511;costabenjamin@uol.com.br;Modelo
214;Cauã da Rocha;1987-07-09;36;Viaduto Ana Laura da Paz;7;Sales de Nogueira;(071) 8932 9244;vieirasophie@jesus.org;Cabo
215;Cauê Melo;1988-01-12;36;Distrito Lima;8;Melo de Minas;0500-413-3483;luiz-otavioalmeida@almeida.br;Produtor musical
216;Cauê da Paz;1999-07-24;24;Avenida Sales;23;Caldeira da Serra;+55 (021) 0492 9638;vgomes@almeida.net;Serralheiro
217;Cecília Ferreira;2018-08-22;5;Residencial Cecília da Rocha;596;Cavalcanti dos Dourados;+55 (011) 9310-7831;castrovitor-hugo@hotmail.com;Preparador de máquinas
218;Cecília Ferreira;2001-03-07;22;Morro Enzo da Cunha;38;Rodrigues;71 5210 2541;msilva@yahoo.com.br;Engenheiro mecânico
219;Cecília Moura;2004-07-28;19;Pátio de Fernandes;301;Pinto;84 2305 5158;anthony59@yahoo.com.br;Cartunista
220;Cecília Pereira;2009-10-19;14;Recanto Ana Carolina da Mata;234;Silveira;+55 11 8285-7365;barbosajoaquim@moura.br;Forneiro
221;Cecília da Conceição;2013-02-12;10;Viaduto Monteiro;905;Fernandes;+55 (041) 7969 5834;nascimentovitor@bol.com.br;Polidor de produção
222;Clara Alves;1978-09-01;45;Vale de Pires;4;Nunes de Goiás;(084) 5197 6297;costadaniela@gmail.com;Físico nuclear
223;Clara Aragão;2013-04-10;10;Estrada Peixoto;6;Moraes Paulista;+55 (084) 1559 7162;luccaaragao@costa.com;Gestor de qualidade
224;Clara Azevedo;1983-05-08;40;Vereda de Gomes;40;Novaes;(011) 7086-2138;vcorreia@correia.org;Engenheiro mecânico
225;Clara Farias;1974-08-03;49;Viaduto de Santos;815;Barros;21 6263-8773;azevedoluiz-miguel@farias.net;Atuário
226;Clara Gomes;2000-04-14;23;Setor de da Luz;94;Almeida do Campo;(071) 8265 0370;bryan46@correia.com;Contra regra
227;Clara Gonçalves;1979-04-07;44;Trecho Ribeiro;26;Vieira;+55 11 2476-0956;luccacampos@melo.org;Classificador contábil
228;Clara Lima;2010-05-31;13;Parque Vicente Jesus;95;Farias do Norte;(041) 4594-1584;zmelo@barros.com;Lactarista hospitalar
229;Clara Lima;2011-11-07;12;Viaduto de Ribeiro;11;Gonçalves de Cardoso;+55 41 5490-9812;pereiramaria-clara@sales.br;Esteticista
230;Clara Mendes;2008-12-04;15;Recanto Isis Vieira;26;Jesus da Serra;(011) 2308-2100;maitealves@pires.com;Corretor de imóveis
231;Clara Pereira;1992-07-17;31;Sítio Porto;5;da Cruz dos Dourados;+55 41 5118-5352;zribeiro@viana.com;Gestor público
232;Clara Pinto;1974-05-18;49;Vila Helena da Conceição;98;Fogaça de Pires;0800 369 4951;umoreira@yahoo.com.br;Tecnólogo em geoprocessamento
233;Clara da Rocha;1976-08-03;47;Campo Alves;71;Teixeira de Caldeira;21 4433 8806;marcos-vinicius33@bol.com.br;Jogador de tênis de mesa
234;Clarice Caldeira;2023-03-07;0;Jardim de da Mota;35;Carvalho;11 9469 5727;fogacalarissa@vieira.com;Cortador de cana-de-açucar
235;Clarice Mendes;1975-09-27;48;Setor de Ferreira;82;Pires Alegre;0500 570 1720;maria-alice94@ramos.com;Biólogo
236;Clarice Pires;2005-07-23;18;Recanto de Ferreira;37;Azevedo do Sul;41 5948 1333;wsilveira@da.com;Cozinheira
237;Clarice da Luz;1981-05-12;42;Residencial da Cunha;57;Dias dos Dourados;51 1421 2883;santosdavi-lucas@bol.com.br;Aeromoça
238;Clarice da Rosa;2002-02-07;21;Residencial Barros;24;Nogueira;+55 (084) 3837-8316;andre99@cardoso.org;Controlador de vôo
239;Clarice das Neves;1998-01-15;26;Campo da Luz;74;Lopes;0500 592 7702;maria-juliada-cruz@rodrigues.com;Engenheiro de som
240;Daniel Caldeira;2011-04-13;12;Largo de Rocha;32;Nogueira de da Costa;61 5263 7924;bdas-neves@ferreira.com;Bartender
241;Daniel Dias;2008-10-24;15;Lago Ana Laura Lima;16;Cunha;0500-554-6687;nicolas19@gmail.com;Marceneiro
242;Daniel Farias;1979-12-24;44;Rua Júlia Monteiro;116;Gomes Alegre;+55 11 4806-4372;fmoraes@ig.com.br;Imunologista
243;Daniel Farias;1986-02-10;37;Núcleo de da Conceição;31;Carvalho dos Dourados;(051) 2144 6726;qbarbosa@carvalho.br;Funileiro
244;Daniel Fernandes;2015-11-26;8;Quadra de Caldeira;57;Araújo;0300-910-6897;camposjoao-gabriel@araujo.org;Engenheiro de controle e automação
245;Daniel Gonçalves;1992-06-29;31;Lago Vieira;328;Santos;81 5940-3960;isabel00@yahoo.com.br;Forneiro
246;Daniel Jesus;2016-11-04;7;Trevo Emilly da Cruz;20;Pinto;(041) 3363 6541;lorena61@da.com;Ginasta artística
247;Daniel Melo;1981-07-28;42;Área Mariane Moura;28;Cardoso do Amparo;0500 196 8383;daniloda-cunha@castro.com;Soldado
248;Daniel Monteiro;2004-03-24;19;Residencial da Costa;47;Mendes de da Luz;+55 41 2137-5255;nmelo@hotmail.com;Fisioterapeuta
249;Daniel Moreira;1973-04-28;50;Residencial de Farias;6;da Costa das Pedras;(031) 5802-9393;luizafogaca@santos.com;Armador
250;Daniel Vieira;1973-01-18;51;Praia Camila Farias;20;Gomes Grande;+55 41 9587-5307;pedro-henriqueda-mata@uol.com.br;Gestor público
251;Daniel das Neves;2006-05-19;17;Área da Luz;4;Martins;(021) 3872 9673;zda-costa@ig.com.br;Engenheiro de som
252;Daniela Martins;1982-08-22;41;Aeroporto de Sales;31;Jesus;(084) 9382 8020;esther60@melo.net;Afiador de ferramentas
253;Daniela Moreira;2002-06-09;21;Conjunto Julia Monteiro;25;Pereira;+55 (031) 2108-9613;zgoncalves@yahoo.com.br;Defensor Público
254;Daniela Nunes;2003-09-07;20;Praça da Conceição;55;Novaes do Norte;+55 (081) 8389-2394;pda-cunha@teixeira.net;Profissional de hotelaria
255;Daniela Rocha;1996-09-26;27;Setor Santos;957;Castro das Pedras;+55 41 2349 3387;tdias@alves.br;Windsurfer
256;Daniela Silveira;1985-09-08;38;Viela de Fernandes;79;das Neves;61 3892-1139;alicia04@cunha.com;Cumim
257;Danilo Costa;2011-04-15;12;Distrito de da Mota;5;Mendes Paulista;+55 11 0926 3580;lais70@santos.com;Otorrinolaringologista
258;Danilo Gonçalves;1994-01-20;30;Ladeira da Mata;30;Azevedo da Prata;81 8296-9008;felipearagao@dias.br;Pianista
259;Danilo Melo;2011-08-05;12;Largo da Luz;8;Lima;+55 41 9232 5674;antonio17@yahoo.com.br;Tecnólogo em processos químicos
260;Danilo da Luz;1975-10-03;48;Condomínio Gabriela Barros;64;Araújo;(031) 8467-7833;ana-beatrizmendes@ig.com.br;Catador de material reciclável
261;Davi Araújo;1972-08-12;51;Lago Larissa Gomes;979;Fogaça do Oeste;+55 21 9565 3793;azevedonicolas@hotmail.com;Psicomotricista
262;Davi Cardoso;2022-02-27;1;Favela Dias;282;Lopes;(031) 3478 6516;plima@das.br;Plastimodelista
263;Davi Correia;2014-03-04;9;Praia Diego da Mota;57;das Neves;+55 (021) 0423 6915;luiz-miguelnogueira@ribeiro.com;Cientista político
264;Davi Ferreira;2014-08-20;9;Rua de Monteiro;8;Martins de Oliveira;(084) 0237 8130;caldeiramaite@da.br;Dançarino
265;Davi Freitas;2020-03-21;3;Colônia Natália Moura;205;Gomes da Serra;+55 71 3649 9857;ramosbeatriz@lopes.com;Caixa
266;Davi Jesus;2012-10-06;11;Praia Sales;65;Freitas de Sales;(021) 3169 9428;silvamaria@bol.com.br;Contábil
267;Davi Lopes;1999-04-08;24;Rodovia Isis Araújo;749;Fogaça;+55 31 6760 1017;goncalvespietro@ig.com.br;Navegador
268;Davi Lucas Cardoso;2022-01-04;2;Fazenda Luana da Rocha;5;Mendes;(084) 6531-8989;breno68@ig.com.br;Marcador de luz
269;Davi Lucas Santos;2010-02-09;13;Morro Lima;69;da Paz;+55 81 1213 0712;maria-clara57@barbosa.com;Diagramador
270;Davi Lucas Souza;1985-11-28;38;Vila Martins;648;Cardoso;71 0073-2203;sda-paz@nunes.net;Deputado
271;Davi Lucas das Neves;1985-03-31;38;Colônia de Nunes;30;Nunes das Pedras;(081) 5853-8914;hnascimento@ig.com.br;Promotor público/de justiça
272;Davi Lucca Farias;1972-11-09;51;Rodovia Maria Clara Sales;27;Correia de Ferreira;71 6632 7622;barbosagustavo-henrique@moura.br;Arquiteto
273;Davi Lucca Gonçalves;2016-07-21;7;Alameda Jesus;22;Lopes;(071) 8082 8817;ufarias@hotmail.com;Procurador de justiça
274;Davi Lucca Lima;2016-08-17;7;Praça Lucas Gabriel da Rocha;6;Cunha de Minas;+55 (021) 2824-5423;raquel45@da.com;Regente
275;Davi Lucca Melo;2010-10-27;13;Travessa Araújo;77;Barbosa da Praia;(061) 7193 7398;emanuella89@yahoo.com.br;Cabeleireiro
276;Davi Lucca Moura;2018-04-01;5;Estrada Farias;32;Almeida;51 0498 0861;qfarias@hotmail.com;Seguidor de compras
277;Davi Lucca Nogueira;1978-05-05;45;Alameda Alves;26;Barbosa;+55 71 8455-2536;pedro-miguelvieira@lima.net;Promotor público/de justiça
278;Davi Lucca Porto;1979-02-21;44;Morro da Conceição;12;Rezende Paulista;51 8287 2316;bda-cruz@hotmail.com;Ferreiro
279;Davi Luiz Costela;1982-06-18;41;Jardim de da Rocha;152;Alves do Oeste;+55 51 0419 3622;diasmarcelo@ig.com.br;Estofador
280;Davi Luiz Cunha;1996-05-19;27;Vale de Peixoto;26;Nascimento da Prata;+55 (061) 1517 1069;igor70@barros.com;Tenista
281;Davi Moreira;2002-01-04;22;Praia da Rosa;14;Gomes;+55 81 6740-6472;luiz-miguelpires@gmail.com;Militar da Aeronáutica
282;Davi Rodrigues;2003-03-06;20;Travessa de da Mota;23;Peixoto;+55 (071) 9812-8542;dda-mata@ramos.com;Marcador de luz
283;Davi Souza;2001-04-17;22;Sítio Heloísa Pinto;41;Oliveira do Campo;+55 31 9878-2919;valentinada-paz@bol.com.br;Maquinista
284;Davi da Mata;1997-11-09;26;Via de da Mota;8;Nascimento;0800-165-7299;dfernandes@uol.com.br;Balconista
285;Diego Carvalho;2013-10-07;10;Avenida Oliveira;188;Rodrigues;0300 369 2296;qpereira@lima.com;Ortesista
286;Diego Castro;1991-10-16;32;Favela Clara Souza;25;Jesus;0500 599 2785;da-costajoaquim@ig.com.br;Ortesista
287;Diego Cunha;1982-07-29;41;Esplanada de Melo;30;da Cunha;61 8126 1384;mouraagatha@melo.net;Grafologista
288;Diego da Paz;1993-07-08;30;Colônia Laís Gomes;326;Almeida de Cavalcanti;11 7083 9791;vianacatarina@gmail.com;Tecnólogo em tecnologia da madeira
289;Diego da Rocha;1990-11-22;33;Distrito Guilherme Gomes;636;Rezende das Flores;51 9951 4113;rda-rosa@hotmail.com;Diplomata
290;Diogo Correia;1975-11-22;48;Pátio Moura;11;da Mata;+55 (011) 0747-7300;pgoncalves@mendes.org;Seguidor de compras
291;Diogo Dias;2002-11-08;21;Pátio Murilo Gonçalves;2;Moura;+55 11 0577 8150;isis22@bol.com.br;Cadeirinha
292;Diogo Farias;2004-06-30;19;Estação de Araújo;87;Almeida do Norte;+55 51 0786 3373;luna75@yahoo.com.br;Agente de defesa sanitária
293;Diogo Mendes;1972-08-23;51;Trecho Moreira;78;das Neves da Praia;+55 21 0806-7888;vvieira@hotmail.com;Economista doméstico
294;Diogo Moura;2021-01-14;3;Viela Laís Costa;8;da Mota;+55 84 3868-4265;dcampos@viana.br;Quiropraxista
295;Diogo Souza;1982-03-08;41;Morro de Vieira;32;Moraes da Praia;+55 (021) 1261-3555;luiza18@fogaca.br;Nutricionista
296;Diogo Teixeira;1984-11-08;39;Residencial de Costela;9;Aragão;+55 (061) 6091 5474;laiscampos@cardoso.br;Publicitário
297;Diogo da Cruz;1987-12-23;36;Praça Maria Eduarda Fernandes;34;Mendes;81 4380 1933;clarice69@novaes.com;Transcritor
298;Dr. Arthur Barbosa;2011-03-17;12;Estação Maria Vitória Barbosa;16;Costela;+55 (011) 8783 1438;rafaela81@bol.com.br;Engenheiro metalúrgico
299;Dr. Arthur Gomes;1977-11-13;46;Trecho Fernando Duarte;67;Peixoto de Oliveira;21 3783-9304;pintolucas@bol.com.br;Separador
300;Dr. Augusto Santos;1997-01-07;27;Morro Maria Julia Martins;62;Viana;+55 (021) 6180-4708;lda-paz@bol.com.br;Contra regra
301;Dr. Breno Aragão;2017-02-09;6;Largo de Pinto;44;Rezende dos Dourados;41 1192-6396;vitoria22@da.com;Cabo
302;Dr. Bruno Cavalcanti;2006-05-03;17;Favela de Alves;993;Campos;0500 050 8738;pfarias@mendes.com;Supervisor
303;Dr. Bruno Rodrigues;1999-06-10;24;Feira Sofia Silva;275;Moraes;+55 (081) 5027-1501;pda-cunha@hotmail.com;Homeopata
304;Dr. Bryan Rezende;1985-02-07;38;Sítio de Oliveira;38;Teixeira;(061) 6483-3647;ianda-rosa@da.net;Capitão
305;Dr. Calebe Rodrigues;2023-02-26;0;Distrito de Teixeira;91;Oliveira de Minas;+55 (021) 7957 4159;da-conceicaomaria-cecilia@silveira.br;Redator
306;Dr. Carlos Eduardo Araújo;2017-12-14;6;Núcleo Marina Nascimento;868;Castro de Barbosa;11 3692-0265;lopesjuan@hotmail.com;Copeiro
307;Dr. Cauê Gonçalves;1972-09-26;51;Esplanada Maitê da Rosa;39;Correia;(041) 3868 9236;gustavo42@pinto.com;Profissional de relações públicas
308;Dr. Davi Lucca Caldeira;2023-08-12;0;Trevo Barbosa;50;Santos do Amparo;+55 71 0348-5192;pereirajoana@bol.com.br;Cerimonialista
309;Dr. Davi Lucca Rezende;1974-07-10;49;Aeroporto de Costa;33;da Costa;11 2072 8288;larissacastro@araujo.net;Tapeceiro
310;Dr. Diego Silveira;1980-06-07;43;Lagoa Rodrigues;382;Campos;84 2211-3471;davi-lucca22@uol.com.br;Controller
311;Dr. Enzo da Luz;2002-03-12;21;Largo Luiza Cavalcanti;89;Costa do Amparo;(011) 9329-8843;da-motabianca@campos.org;Tecnólogo em papel e celulose
312;Dr. Gabriel Farias;1979-01-29;45;Alameda de Rodrigues;2;da Conceição;(081) 6741-1148;antonio06@gmail.com;Produtor de eventos
313;Dr. Gabriel Moraes;1993-07-29;30;Avenida de da Luz;13;Moreira;+55 21 6862-4935;maria-claracardoso@ig.com.br;Cabo
314;Dr. Gustavo Henrique Lima;2019-10-20;4;Parque Emilly Dias;5;Pires;84 2322 1352;gustavo-henrique81@ig.com.br;Tecnólogo em negócios imobiliários
315;Dr. Gustavo Moura;1986-02-10;37;Conjunto de Nunes;19;Ferreira;+55 21 8517-8873;ana-clarafreitas@hotmail.com;Maquinista
316;Dr. Gustavo Rocha;2009-05-08;14;Núcleo de Rezende;63;da Costa do Amparo;+55 (021) 7747 5201;kfarias@bol.com.br;Fisiculturista
317;Dr. Heitor Jesus;1995-03-16;28;Estação Kamilly Rocha;45;Porto das Pedras;+55 11 4239 9380;sabrinanunes@lima.com;Digitador
318;Dr. Heitor Martins;1974-03-03;49;Favela Maria Alice Costela;96;da Paz de Goiás;+55 31 3460-7810;moreiraelisa@monteiro.com;Feirante
319;Dr. Henrique Gonçalves;2005-05-20;18;Travessa Souza;24;Cardoso;(041) 8567-4279;rda-paz@carvalho.net;Tecnólogo em rochas ornamentais
320;Dr. Henrique Rezende;1993-08-22;30;Sítio de Moraes;27;Ferreira;(021) 4883 9852;kpires@uol.com.br;Cabo
321;Dr. Henrique da Cunha;2022-09-28;1;Viela da Rosa;28;Ferreira;+55 61 4178 6311;bruno38@bol.com.br;Corretor de imóveis
322;Dr. Ian Viana;2008-03-01;15;Viaduto Leandro Mendes;5;Souza;(031) 7300-1874;tvieira@da.net;Perito judicial
323;Dr. Igor Carvalho;1974-09-22;49;Largo Enrico Nunes;36;Farias;0500 994 3514;dmonteiro@uol.com.br;Prensista
324;Dr. Isaac Lopes;1995-06-22;28;Travessa Ramos;37;Mendes do Campo;+55 (051) 5324-4464;duartejoao@gmail.com;Tecelão
325;Dr. João Lucas Souza;1984-11-16;39;Vale de Rezende;39;Moraes;+55 (081) 9518-7661;nrocha@hotmail.com;Salva-vidas
326;Dr. João Lucas da Cunha;2007-10-23;16;Residencial de Barbosa;17;Silva;51 7067 9113;castrojuan@bol.com.br;Dublê
327;Dr. João Miguel Farias;2007-03-27;16;Quadra de Souza;39;Oliveira;71 3099 9717;fariasleonardo@pinto.com;Bedel
328;Dr. João Miguel Ferreira;1999-02-03;24;Vereda Duarte;8;Sales da Mata;+55 51 2311 9102;yfreitas@ig.com.br;Cantor
329;Dr. João Pedro das Neves;2008-05-01;15;Sítio Viana;89;Freitas;+55 84 4001 0133;fda-mota@uol.com.br;Endodontista
330;Dr. João Vitor da Cunha;2002-01-15;22;Conjunto Diogo da Costa;78;Costa de Costa;0500-782-0009;monteirocaroline@uol.com.br;Clarinetista
331;Dr. Juan Jesus;2002-01-25;22;Distrito de da Luz;13;da Mata do Amparo;41 6392-1338;da-costabenjamin@bol.com.br;Cientista social
332;Dr. Kaique Silva;2009-08-06;14;Vila Alana Correia;13;Correia dos Dourados;+55 61 8497 5483;ana-sophia20@da.com;Roteirista
333;Dr. Leandro Monteiro;1982-05-06;41;Setor Helena Souza;57;Costa do Norte;(061) 3990 5459;joao-felipe24@yahoo.com.br;Dançarino
334;Dr. Lucas Rodrigues;1995-03-21;28;Condomínio de Oliveira;78;Costa;81 9598-8305;wgoncalves@goncalves.net;Endodontista
335;Dr. Luiz Felipe Azevedo;1990-10-12;33;Quadra de Mendes;37;Porto;(081) 6908 6048;leonardo16@monteiro.br;Técnico em desporto
336;Dr. Luiz Fernando da Rocha;1973-02-23;50;Feira Pires;53;Barros;(011) 4245 2155;ynunes@santos.com;Técnico em óptica
337;Dr. Luiz Gustavo Caldeira;1978-09-21;45;Pátio Luna Gonçalves;386;Ramos do Galho;+55 (084) 6969-4266;vdas-neves@das.net;Afiador de ferramentas
338;Dr. Luiz Henrique da Rosa;1997-10-15;26;Estação Nunes;96;Melo;+55 (011) 5847-7358;lucas-gabrielazevedo@farias.br;Maquinista
339;Dr. Luiz Miguel Correia;1980-03-11;43;Recanto Oliveira;88;Lima de Costela;(031) 1516 3773;jduarte@ig.com.br;Tenente
340;Dr. Luiz Miguel Lopes;1987-09-11;36;Feira de Viana;71;Almeida;+55 61 7272-3318;moreirabruno@bol.com.br;Polidor de produção
341;Dr. Luiz Otávio da Paz;1993-12-06;30;Praça Isadora Correia;3;Santos;(071) 8023-5925;kmartins@santos.br;Patinador
342;Dr. Marcelo Barros;2011-12-09;12;Núcleo Barbosa;240;Azevedo do Oeste;(011) 4756 2169;luiz-fernandomelo@da.br;Músico
343;Dr. Marcos Vinicius Castro;1977-04-15;46;Área de Almeida;22;Souza;+55 11 5960 0506;ribeirosabrina@ferreira.com;Garçom
344;Dr. Marcos Vinicius da Costa;1973-05-27;50;Viela da Conceição;71;Caldeira;(011) 7385 0814;udas-neves@bol.com.br;Eletricista
345;Dr. Murilo das Neves;1995-07-04;28;Fazenda de da Rosa;1;da Cunha da Prata;+55 61 6320 6609;milena19@fernandes.com;Surfista
346;Dr. Nathan Campos;2019-07-04;4;Aeroporto Araújo;273;Rodrigues;11 9720 4742;raquelmelo@carvalho.com;Moldador
347;Dr. Nathan Moraes;1989-05-16;34;Alameda de Peixoto;75;Barbosa;41 7799 5706;gnascimento@yahoo.com.br;Comprador
348;Dr. Nathan Pereira;2007-05-18;16;Rodovia de Silva;8;Barbosa;+55 84 5659-1321;wcavalcanti@castro.com;Técnico em rede
349;Dr. Nathan Rezende;2023-08-10;0;Favela de da Rosa;70;Martins da Mata;+55 84 1746-1930;hcostela@dias.com;Instrumentador cirúrgico
350;Dr. Otávio Costela;1975-11-10;48;Distrito de Lima;73;Gomes dos Dourados;0300-855-6635;ynascimento@moraes.org;Ginasta artística
351;Dr. Paulo Gomes;2020-06-23;3;Avenida de das Neves;5;Campos;(061) 3858-2859;procha@castro.br;Perfusionista
352;Dr. Pedro Henrique Fogaça;2015-11-07;8;Vale Luiz Otávio Nunes;75;Duarte de Alves;(041) 1871 6492;brezende@lima.com;Entalhador
353;Dr. Pedro Lucas Campos;1992-02-10;31;Campo Araújo;26;da Rosa do Sul;0900-078-7217;opereira@ig.com.br;Fisiculturista
354;Dr. Pedro Lucas Ferreira;2000-05-08;23;Recanto Porto;87;Ramos;+55 61 1503 0065;tsantos@yahoo.com.br;Maquiador
355;Dr. Pedro Miguel Nogueira;1985-04-13;38;Aeroporto Costa;13;Castro Grande;(031) 5960 0421;igor49@hotmail.com;Bartender
356;Dr. Pietro Araújo;1972-03-20;51;Feira Esther Lima;26;das Neves;+55 81 2430 3252;rodrigo77@bol.com.br;Portuário
357;Dr. Rafael da Rosa;2006-09-18;17;Condomínio Samuel da Rosa;1;Freitas das Pedras;(081) 1036-1118;correiabenjamin@yahoo.com.br;Tecnólogo em processos químicos
358;Dr. Renan da Conceição;1981-08-24;42;Residencial Pietro Pereira;45;Viana;0500-150-6553;xcorreia@farias.com;Profissional de relações internacionais
359;Dr. Renan das Neves;1997-08-31;26;Vereda Nogueira;1;da Paz do Norte;(011) 0435-8358;silvaryan@da.br;Alpinista
360;Dr. Rodrigo Farias;2014-01-29;9;Recanto de Araújo;1;Caldeira Alegre;(081) 9063-9074;isaaccunha@barbosa.br;Engenheiro de aquicultura
361;Dr. Rodrigo Lopes;1971-11-03;52;Avenida Joana da Mata;19;Duarte;(041) 2370 4015;rda-cruz@moura.br;Médico nuclear
362;Dr. Ryan Alves;1989-04-19;34;Condomínio Cardoso;1;Pires;+55 (031) 3216-0448;vitoria66@ferreira.br;Tesoureiro
363;Dr. Ryan da Luz;2009-09-28;14;Fazenda Barbosa;120;Souza de Peixoto;(021) 4140-0368;kaique41@yahoo.com.br;Fotógrafo
364;Dr. Thiago Fernandes;1979-07-05;44;Área Alexandre Correia;46;Fogaça;(041) 1521-4206;daniel16@pereira.com;Cinematográfo
365;Dr. Vicente da Rosa;1985-01-19;39;Viaduto de Cavalcanti;37;Costela da Prata;(071) 9936-4480;calebecaldeira@gmail.com;Entalhador
366;Dr. Vinicius Martins;1996-03-17;27;Favela João Gabriel Oliveira;75;Porto de Silva;(071) 5524 3041;smonteiro@uol.com.br;Antropólogo
367;Dr. Vitor Gabriel da Rocha;1971-03-04;52;Trevo de Correia;94;Aragão de Goiás;61 6793 8618;goncalvesbryan@bol.com.br;Selecionador de pessoal
368;Dr. Yago Pinto;2019-07-14;4;Estrada Rafaela das Neves;8;Cavalcanti;+55 (061) 3083 8147;cardosojoana@rodrigues.br;Jardineiro
369;Dr. Yuri Cardoso;1971-04-27;52;Alameda Diogo Porto;98;Cardoso;31 0663 5231;joao-guilherme23@da.org;Nutricionista
370;Dr. Yuri Ferreira;1979-06-21;44;Passarela Clara da Luz;167;Silveira;81 5751 0466;ebarros@farias.br;Oficial de justiça
371;Dra. Ana Vitória Rocha;2012-04-16;11;Jardim Kevin Jesus;342;Vieira;61 8577 9803;marcos-vinicius10@yahoo.com.br;Separador
372;Dra. Ana da Mota;2004-01-27;20;Rua Freitas;609;Azevedo de Araújo;+55 (061) 0068-5532;tda-rocha@uol.com.br;Tosador
373;Dra. Beatriz Silva;2023-04-29;0;Passarela da Rocha;13;Fogaça do Galho;0800-045-2216;alexandre89@gmail.com;Figurinista
374;Dra. Brenda Cardoso;1974-10-27;49;Avenida Castro;61;Barbosa da Serra;81 8668-5879;krodrigues@monteiro.com;Promotor de vendas
375;Dra. Caroline Fernandes;2000-09-02;23;Colônia Ana Carolina da Luz;1;Carvalho;0800 556 2981;fernandoda-rosa@cavalcanti.com;Treinador
376;Dra. Cecília Fernandes;1995-07-18;28;Pátio de Caldeira;52;da Mata;(011) 1212 1347;benicio65@porto.com;Panificador/Padeiro
377;Dra. Clara Pires;2022-05-19;1;Praça Caroline Santos;65;Moraes;+55 (031) 9312-7306;ooliveira@duarte.net;Pesquisador
378;Dra. Emanuelly Pinto;2018-03-26;5;Vila Duarte;25;Teixeira;(061) 0424 1197;moreiramaria-eduarda@gmail.com;Engenheiro agrimensor
